"BA Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
HST,"7/10/2020 10 p.m. EDT",87,105,0,-87
HST,"7/10/2020 11 p.m. EDT",83,98,0,-83
HST,"7/11/2020 12 a.m. EDT",78,90,0,-78
HST,"7/11/2020 1 a.m. EDT",72,74,0,-72
HST,"7/11/2020 2 a.m. EDT",67,71,0,-67
HST,"7/11/2020 3 a.m. EDT",63,66,0,-63
HST,"7/11/2020 4 a.m. EDT",60,63,0,-60
HST,"7/11/2020 5 a.m. EDT",58,60,0,-58
HST,"7/11/2020 6 a.m. EDT",58,62,0,-58
HST,"7/11/2020 7 a.m. EDT",59,63,0,-59
HST,"7/11/2020 8 a.m. EDT",59,64,0,-59
HST,"7/11/2020 9 a.m. EDT",62,70,0,-62
HST,"7/11/2020 10 a.m. EDT",70,79,0,-70
HST,"7/11/2020 11 a.m. EDT",75,85,0,-75
HST,"7/11/2020 12 p.m. EDT",74,94,0,-74
HST,"7/11/2020 1 p.m. EDT",72,95,0,-72
HST,"7/11/2020 2 p.m. EDT",72,102,0,-72
HST,"7/11/2020 3 p.m. EDT",73,109,0,-73
HST,"7/11/2020 4 p.m. EDT",78,112,0,-78
HST,"7/11/2020 5 p.m. EDT",80,117,0,-80
HST,"7/11/2020 6 p.m. EDT",76,118,0,-76
HST,"7/11/2020 7 p.m. EDT",75,118,0,-75
HST,"7/11/2020 8 p.m. EDT",74,112,0,-74
HST,"7/11/2020 9 p.m. EDT",76,109,0,-76
HST,"7/11/2020 10 p.m. EDT",77,105,0,-77
HST,"7/11/2020 11 p.m. EDT",74,97,0,-74
HST,"7/12/2020 12 a.m. EDT",69,90,0,-69
HST,"7/12/2020 1 a.m. EDT",64,64,0,-64
HST,"7/12/2020 2 a.m. EDT",59,64,0,-59
HST,"7/12/2020 3 a.m. EDT",57,61,0,-57
HST,"7/12/2020 4 a.m. EDT",56,59,0,-56
HST,"7/12/2020 5 a.m. EDT",54,57,0,-54
HST,"7/12/2020 6 a.m. EDT",54,57,0,-54
HST,"7/12/2020 7 a.m. EDT",53,57,0,-53
HST,"7/12/2020 8 a.m. EDT",53,61,0,-53
